id;fecha;tamn_sbs_pct;tipmn_sbs_pct
1;1/01/2021;12,1;0,98
2;4/01/2021;12,23;0,98
3;5/01/2021;12,15;0,97
4;6/01/2021;12,1;0,96
5;7/01/2021;12,08;0,96
6;8/01/2021;12,05;0,96
7;11/01/2021;12,06;0,96
8;12/01/2021;12,11;0,95
9;13/01/2021;12,1;0,95
10;14/01/2021;12,1;0,95
11;15/01/2021;12,09;0,95
12;18/01/2021;12,05;0,94
13;19/01/2021;12,02;0,94
14;20/01/2021;11,92;0,94
15;21/01/2021;11,88;0,94
16;22/01/2021;11,95;0,95
17;25/01/2021;11,95;0,94
18;26/01/2021;11,98;0,93
19;27/01/2021;11,95;0,94
20;28/01/2021;11,96;0,94
21;29/01/2021;11,93;0,94
22;1/02/2021;11,95;0,94
23;2/02/2021;11,96;0,93
24;3/02/2021;11,89;0,93
25;4/02/2021;11,88;0,93
26;5/02/2021;11,83;0,94
27;8/02/2021;11,78;0,93
28;9/02/2021;11,78;0,92
29;10/02/2021;11,78;0,93
30;11/02/2021;11,76;0,92
31;12/02/2021;11,75;0,91
32;15/02/2021;11,75;0,92
33;16/02/2021;11,39;0,91
34;17/02/2021;11,37;0,92
35;18/02/2021;11,31;0,91
36;19/02/2021;11,26;0,91
37;22/02/2021;11,28;0,91
38;23/02/2021;11,29;0,91
39;24/02/2021;11,28;0,91
40;25/02/2021;11,28;0,91
41;26/02/2021;11,27;0,91
42;1/03/2021;11,27;0,91
43;2/03/2021;11,27;0,91
44;3/03/2021;11,25;0,91
45;4/03/2021;11,24;0,9
46;5/03/2021;11,23;0,9
47;8/03/2021;11,13;0,9
48;9/03/2021;11,12;0,89
49;10/03/2021;11,08;0,89
50;11/03/2021;11,08;0,89
51;12/03/2021;11,09;0,89
52;15/03/2021;11,07;0,89
53;16/03/2021;11,09;0,89
54;17/03/2021;11,04;0,89
55;18/03/2021;11,01;0,89
56;19/03/2021;11,06;0,89
57;22/03/2021;11,06;0,89
58;23/03/2021;11,11;0,89
59;24/03/2021;11,12;0,89
60;25/03/2021;11,11;0,88
61;26/03/2021;11,12;0,88
62;29/03/2021;11,12;0,88
63;30/03/2021;11,18;0,89
64;31/03/2021;11,2;0,89
65;1/04/2021;11,2;0,89
66;2/04/2021;11,2;0,89
67;5/04/2021;11,21;0,89
68;6/04/2021;11,17;0,89
