id;fecha;tamn_pct;tipmn_pct;spread_pct;tasa_referencia_pct;tasa_interbancaria_pct;brecha_interbancaria_pct;riesgo_pais_embig_pct;tipo_cambio_pen_usd
1;2021-01-04;12,23;0,98;11,25;0,25;0,25;0,0;1,31;3,626667
2;2021-01-05;12,15;0,97;11,18;0,25;0,25;0,0;1,3;3,633667
3;2021-01-06;12,1;0,96;11,14;0,25;0,25;0,0;1,28;3,626833
4;2021-01-07;12,08;0,96;11,12;0,25;0,25;0,0;1,28;3,623
5;2021-01-08;12,05;0,96;11,09;0,25;0,25;0,0;1,25;3,613833
6;2021-01-11;12,06;0,96;11,1;0,25;0,25;0,0;1,29;3,617333
7;2021-01-12;12,11;0,95;11,16;0,25;0,25;0,0;1,38;3,609
8;2021-01-13;12,1;0,95;11,15;0,25;0,25;0,0;1,35;3,614
9;2021-01-14;12,1;0,95;11,15;0,25;0,25;0,0;1,31;3,6135
10;2021-01-15;12,09;0,95;11,14;0,25;0,25;0,0;1,34;3,612667
11;2021-01-18;12,05;0,94;11,11;0,25;0,25;0,0;1,34;3,617
12;2021-01-19;12,02;0,94;11,08;0,25;0,25;0,0;1,34;3,613333
13;2021-01-20;11,92;0,94;10,98;0,25;0,25;0,0;1,34;3,615333
14;2021-01-21;11,88;0,94;10,94;0,25;0,25;0,0;1,33;3,622
15;2021-01-22;11,95;0,95;11,0;0,25;0,25;0,0;1,31;3,634167
16;2021-01-25;11,95;0,94;11,01;0,25;0,25;0,0;1,33;3,644
17;2021-01-26;11,98;0,93;11,05;0,25;0,25;0,0;1,32;3,645167
18;2021-01-27;11,95;0,94;11,01;0,25;0,25;0,0;1,33;3,653
19;2021-01-28;11,96;0,94;11,02;0,25;0,25;0,0;1,31;3,646667
20;2021-01-29;11,93;0,94;10,99;0,25;0,25;0,0;1,28;3,639333
21;2021-02-01;11,95;0,94;11,01;0,25;0,25;0,0;1,31;3,6395
22;2021-02-02;11,96;0,93;11,03;0,25;0,25;0,0;1,3;3,638833
23;2021-02-03;11,89;0,93;10,96;0,25;0,25;0,0;1,32;3,6385
24;2021-02-04;11,88;0,93;10,95;0,25;0,25;0,0;1,37;3,645667
25;2021-02-05;11,83;0,94;10,89;0,25;0,25;0,0;1,35;3,639333
26;2021-02-08;11,78;0,93;10,85;0,25;0,25;0,0;1,36;3,643
27;2021-02-09;11,78;0,92;10,86;0,25;0,25;0,0;1,35;3,642667
28;2021-02-10;11,78;0,93;10,85;0,25;0,25;0,0;1,37;3,638167
29;2021-02-11;11,76;0,92;10,84;0,25;0,25;0,0;1,34;3,638833
30;2021-02-12;11,75;0,91;10,84;0,25;0,25;0,0;1,33;3,6455
31;2021-02-15;11,75;0,92;10,83;0,25;0,25;0,0;1,33;3,645
32;2021-02-16;11,39;0,91;10,48;0,25;0,25;0,0;1,36;3,651
33;2021-02-17;11,37;0,92;10,45;0,25;0,25;0,0;1,36;3,655
34;2021-02-18;11,31;0,91;10,4;0,25;0,25;0,0;1,38;3,650667
35;2021-02-19;11,26;0,91;10,35;0,25;0,25;0,0;1,37;3,653667
